incident_id,incident_date,year,state_abbr,agency_id,agency_name,agency_type,agency_state_abbr,agency_state_name,multi_agency_incident
3,2015-01-02,2015,WA,73,Mason County Sheriff's Office,sheriff,WA,Washington,False
4,2015-01-02,2015,OR,70,Washington County Sheriff's Office,sheriff,OR,Oregon,False
5,2015-01-03,2015,KS,238,Wichita Police Department,local_police,KS,Kansas,False
8,2015-01-04,2015,CA,196,San Francisco Police Department,local_police,CA,California,False
9,2015-01-04,2015,CO,473,Evans Police Department,local_police,CO,Colorado,False
11,2015-01-04,2015,OK,101,Oklahoma Highway Patrol,state_police,OK,Oklahoma,False
13,2015-01-05,2015,AZ,195,Chandler Police Department,local_police,AZ,Arizona,False
15,2015-01-06,2015,KS,490,Saline County Sheriff's Department,sheriff,KS,Kansas,False
16,2015-01-06,2015,IA,287,Burlington Police Department,local_police,IA,Iowa,False
17,2015-01-06,2015,PA,26254,U.S. Marshals Service,federal,PA,Pennsylvania,False
19,2015-01-06,2015,CA,168,Stockton Police Department,local_police,CA,California,False
21,2015-01-07,2015,TX,246,Freeport Police Department,local_police,TX,Texas,False
22,2015-01-07,2015,OH,90,Columbus Police Department,local_police,OH,Ohio,False
25,2015-01-07,2015,IA,115,Des Moines Police Department,local_police,IA,Iowa,False
27,2015-01-07,2015,LA,145,New Orleans Police Department,local_police,LA,Louisiana,False
29,2015-01-08,2015,MT,254,Yellowstone County Sheriff's Department,sheriff,MT,Montana,False
32,2015-01-08,2015,UT,250,Salt Lake City Police Department,local_police,UT,Utah,False
36,2015-01-08,2015,AR,249,Union County Sheriff's Department,sheriff,AR,Arkansas,False
37,2015-01-08,2015,UT,491,Davis County Sheriff's Office,sheriff,UT,Utah,True
37,2015-01-08,2015,UT,492,Syracuse Police Department,local_police,UT,Utah,True
38,2015-01-09,2015,AR,289,England Police Department,local_police,AR,Arkansas,False
325,2015-01-09,2015,TX,110,El Paso Police Department,local_police,TX,Texas,False
42,2015-01-11,2015,IL,290,Arcola Police Department,local_police,IL,Illinois,False
43,2015-01-11,2015,CA,494,South Gate Police Department,local_police,CA,California,False
45,2015-01-11,2015,NV,493,North Las Vegas Police Department,local_police,NV,Nevada,False
46,2015-01-13,2015,NM,508,Albuquerque Police Department,local_police,NM,New Mexico,False
48,2015-01-13,2015,TX,292,Jourdanton Police Department,local_police,TX,Texas,False
49,2015-01-14,2015,MN,63,St. Paul Police Department,local_police,MN,Minnesota,False
50,2015-01-14,2015,MO,278,Franklin County Sheriff's Department,sheriff,MO,Missouri,False
51,2015-01-14,2015,VA,1237,Chesapeake Police Department,local_police,VA,Virginia,False
52,2015-01-14,2015,NJ,293,Old Bridge Police Department,local_police,NJ,New Jersey,False
54,2015-01-14,2015,TX,227,Lake Jackson Police Department,local_police,TX,Texas,False
55,2015-01-14,2015,UT,228,Draper Police Department,local_police,UT,Utah,True
55,2015-01-14,2015,UT,229,West Valley City Police Department,local_police,UT,Utah,True
56,2015-01-15,2015,IN,77,Indianapolis Metropolitan Police Department,local_police,IN,Indiana,False
57,2015-01-15,2015,CO,21,Aurora Police Department,local_police,CO,Colorado,False
60,2015-01-15,2015,MN,139,Bloomington Police Department,local_police,MN,Minnesota,False
63,2015-01-15,2015,CA,114,Fairfield Police Department,local_police,CA,California,False
64,2015-01-15,2015,LA,509,Louisiana State Police,state_police,LA,Louisiana,False
67,2015-01-16,2015,TX,119,Texas Rangers,state_police,TX,Texas,False
68,2015-01-16,2015,CA,120,Fremont Police Department,local_police,CA,California,False
74,2015-01-17,2015,OK,125,Muskogee Police Department,local_police,OK,Oklahoma,False
75,2015-01-17,2015,CA,38,Los Angeles Police Department,local_police,CA,California,False
78,2015-01-17,2015,TX,116,Fort Worth Police Department,local_police,TX,Texas,False
80,2015-01-18,2015,AZ,127,Maricopa Police Department,local_police,AZ,Arizona,False
83,2015-01-18,2015,KY,130,Kentucky State Police,state_police,KY,Kentucky,False
84,2015-01-19,2015,MA,108,Weymouth Police Department,local_police,MA,Massachusetts,False
85,2015-01-20,2015,AZ,510,Scottsdale Police Department,local_police,AZ,Arizona,False
86,2015-01-21,2015,CA,267,Riverside County Sheriff's Department,sheriff,CA,California,False
88,2015-01-21,2015,TX,2195,U.S. Border Patrol,federal,TX,Texas,False
90,2015-01-21,2015,MO,134,St. Louis Police Department,local_police,MO,Missouri,False
98,2015-01-21,2015,NH,133,Derry Police Department,local_police,NH,New Hampshire,False
99,2015-01-22,2015,TX,2195,U.S. Border Patrol,federal,TX,Texas,False
100,2015-01-22,2015,TX,111,Longview Police Department,local_police,TX,Texas,False
101,2015-01-23,2015,FL,148,Lauderhill Police Department,local_police,FL,Florida,False
102,2015-01-23,2015,TX,147,Levelland Police Department,local_police,TX,Texas,False
336,2015-01-23,2015,TX,141,Austin Police Department,local_police,TX,Texas,False
105,2015-01-24,2015,ID,150,Rexburg Police Department,local_police,ID,Idaho,False
107,2015-01-24,2015,MD,149,Baltimore Police Department,local_police,MD,Maryland,False
341,2015-01-24,2015,TX,116,Fort Worth Police Department,local_police,TX,Texas,False
108,2015-01-25,2015,CO,151,Pueblo Police Department,local_police,CO,Colorado,False
110,2015-01-25,2015,NJ,52,Winslow Police Department,local_police,NJ,New Jersey,False
20,2015-01-26,2015,CO,106,Denver Police Department,local_police,CO,Colorado,False
324,2015-01-26,2015,MN,1953,New Hope Police Department,local_police,MN,Minnesota,True
324,2015-01-26,2015,MN,109,Minneapolis Police Department,local_police,MN,Minnesota,True
352,2015-01-26,2015,TX,179,Lynn County Sheriff's Office,sheriff,TX,Texas,False
353,2015-01-26,2015,CA,180,Kern County Sheriff's Office,sheriff,CA,California,False
111,2015-01-27,2015,NE,158,Omaha Police Department,local_police,NE,Nebraska,False
348,2015-01-27,2015,AZ,80,Phoenix Police Department,local_police,AZ,Arizona,False
349,2015-01-27,2015,AZ,174,Greenlee County Sheriff's Office,sheriff,AZ,Arizona,True
349,2015-01-27,2015,AZ,175,Clifton Police Department,local_police,AZ,Arizona,True
350,2015-01-27,2015,OH,3084,U.S. Marshals Service,federal,OH,Ohio,False
345,2015-01-28,2015,TX,166,Wise County Sheriff's Office,sheriff,TX,Texas,False
346,2015-01-28,2015,CA,168,Stockton Police Department,local_police,CA,California,False
347,2015-01-28,2015,TX,171,Rosenberg Police Department,local_police,TX,Texas,False
112,2015-01-29,2015,MI,512,Wyoming Police Department,local_police,MI,Michigan,True
112,2015-01-29,2015,MI,511,Kentwood Police Department,local_police,MI,Michigan,True
342,2015-01-29,2015,OK,164,Stillwater Police Department,local_police,OK,Oklahoma,False
113,2015-01-30,2015,MT,105,Billings Police Department,local_police,MT,Montana,False
338,2015-01-31,2015,TX,160,Harris County Sheriff's Office,sheriff,TX,Texas,False
339,2015-01-31,2015,MD,128,Baltimore County Police Department,local_police,MD,Maryland,False
114,2015-02-02,2015,PA,303,Hummelstown Police Department,local_police,PA,Pennsylvania,False
115,2015-02-02,2015,CA,236,San Bernardino County Sheriff's Department,sheriff,CA,California,False
528,2015-02-02,2015,MI,569,Bay City Police Department,local_police,MI,Michigan,False
117,2015-02-03,2015,MO,134,St. Louis Police Department,local_police,MO,Missouri,False
118,2015-02-03,2015,CA,307,Emeryville Police Department,local_police,CA,California,False
119,2015-02-03,2015,CA,204,Contra Costa Sheriff's Office,sheriff,CA,California,False
120,2015-02-03,2015,GA,305,Douglas Police Department,local_police,GA,Georgia,False
116,2015-02-04,2015,FL,311,Tallahassee Police Department,local_police,FL,Florida,False
123,2015-02-04,2015,FL,482,Orlando Police Department,local_police,FL,Florida,False
124,2015-02-04,2015,AZ,247,Tempe Police Department,local_police,AZ,Arizona,True
124,2015-02-04,2015,AZ,195,Chandler Police Department,local_police,AZ,Arizona,True
124,2015-02-04,2015,AZ,2267,U.S. Marshals Service,federal,AZ,Arizona,True
124,2015-02-04,2015,AZ,319,Mesa Police Department,local_police,AZ,Arizona,True
125,2015-02-04,2015,AZ,247,Tempe Police Department,local_police,AZ,Arizona,True
125,2015-02-04,2015,AZ,195,Chandler Police Department,local_police,AZ,Arizona,True
125,2015-02-04,2015,AZ,2267,U.S. Marshals Service,federal,AZ,Arizona,True
125,2015-02-04,2015,AZ,319,Mesa Police Department,local_police,AZ,Arizona,True
126,2015-02-04,2015,TX,521,Waco Police Department,local_police,TX,Texas,False
127,2015-02-04,2015,TN,1409,U.S. Marshals Service,federal,TN,Tennessee,False
128,2015-02-05,2015,CA,315,Corona Police Department,local_police,CA,California,False
129,2015-02-06,2015,OK,23,Oklahoma City Police Department,local_police,OK,Oklahoma,False
532,2015-02-07,2015,CA,267,Riverside County Sheriff's Department,sheriff,CA,California,False
554,2015-02-07,2015,NC,317,Gastonia Police Department,local_police,NC,North Carolina,False
131,2015-02-08,2015,AK,208,Anchorage Police Department,local_police,AK,Alaska,False
132,2015-02-08,2015,TX,141,Austin Police Department,local_police,TX,Texas,False
133,2015-02-08,2015,NY,325,Clarkstown Police Department,local_police,NY,New York,False
134,2015-02-08,2015,FL,326,Orange County Sheriff's Office,sheriff,FL,Florida,False
135,2015-02-08,2015,TX,328,Nocona Police Department,local_police,TX,Texas,False
136,2015-02-09,2015,ME,513,Aroostook County Sheriff's Office,sheriff,ME,Maine,True
136,2015-02-09,2015,ME,514,Maine State Police,state_police,ME,Maine,True
137,2015-02-09,2015,TX,330,Dallas Police Department,local_police,TX,Texas,False
138,2015-02-10,2015,WA,331,Pasco Police Department,local_police,WA,Washington,False
139,2015-02-10,2015,TN,31,Memphis Police Department,local_police,TN,Tennessee,False
140,2015-02-10,2015,CO,335,Garfield County Sheriff's Office,sheriff,CO,Colorado,False
141,2015-02-11,2015,CA,92,San Jose Police Department,local_police,CA,California,False
142,2015-02-11,2015,AL,338,Tallapoosa County Sheriff's Department,sheriff,AL,Alabama,False
145,2015-02-13,2015,CA,595,San Bernardino Police Department,local_police,CA,California,False
146,2015-02-13,2015,KS,200,Kansas Highway Patrol,state_police,KS,Kansas,True
146,2015-02-13,2015,KS,2169,Kansas City Police Department,local_police,KS,Kansas,True
147,2015-02-13,2015,PA,19,Pennsylvania State Police,state_police,PA,Pennsylvania,False
148,2015-02-13,2015,TN,339,Carroll County Sheriff's Department,sheriff,TN,Tennessee,False
154,2015-02-13,2015,AZ,348,Pinal County Sheriff's Department,sheriff,AZ,Arizona,False
149,2015-02-14,2015,MD,128,Baltimore County Police Department,local_police,MD,Maryland,False
155,2015-02-14,2015,TX,203,Laredo Police Department,local_police,TX,Texas,False
150,2015-02-15,2015,FL,346,Miami Gardens Police Department,local_police,FL,Florida,False
151,2015-02-15,2015,MS,347,Iuka Police Department,local_police,MS,Mississippi,False
153,2015-02-15,2015,OR,277,Clackamas County Sheriff's Office,sheriff,OR,Oregon,False
156,2015-02-16,2015,AZ,215,Marana Police Department,local_police,AZ,Arizona,False
157,2015-02-16,2015,ID,349,Boise Police Department,local_police,ID,Idaho,False
158,2015-02-16,2015,UT,53,Provo Police Department,local_police,UT,Utah,False
130,2015-02-17,2015,NC,317,Gastonia Police Department,local_police,NC,North Carolina,False
159,2015-02-17,2015,MO,350,Springfield Police Department,local_police,MO,Missouri,False
160,2015-02-17,2015,MI,352,Eaton County Sheriff's Department,sheriff,MI,Michigan,False
161,2015-02-17,2015,MA,515,Tewksbury Police Department,local_police,MA,Massachusetts,False
162,2015-02-17,2015,TX,353,Del Rio Police Department,local_police,TX,Texas,False
163,2015-02-18,2015,NC,354,Charlotte Mecklenburg Police Department,local_police,NC,North Carolina,False
165,2015-02-20,2015,TX,1142,Euless Police Department,local_police,TX,Texas,True
165,2015-02-20,2015,TX,518,Grapevine Police Department,local_police,TX,Texas,True
166,2015-02-20,2015,AL,516,Homewood Police Department,local_police,AL,Alabama,False
255,2015-02-20,2015,AL,517,Birmingham Police Department,local_police,AL,Alabama,False
584,2015-02-20,2015,TX,1173,U.S. Marshals Service,federal,TX,Texas,False
167,2015-02-21,2015,NM,81,New Mexico State Police,state_police,NM,New Mexico,False
168,2015-02-21,2015,IN,77,Indianapolis Metropolitan Police Department,local_police,IN,Indiana,False
170,2015-02-22,2015,FL,206,Palm Bay Police Department,local_police,FL,Florida,False
172,2015-02-23,2015,LA,214,Denham Springs Police Department,local_police,LA,Louisiana,False
174,2015-02-23,2015,GA,363,Cobb County Sheriff's Department,sheriff,GA,Georgia,True
174,2015-02-23,2015,GA,364,Paulding County Sheriff's Department,sheriff,GA,Georgia,True
174,2015-02-23,2015,GA,1399,U.S. Marshals Service,federal,GA,Georgia,True
175,2015-02-23,2015,GA,367,Habersham County Sheriff's Department,sheriff,GA,Georgia,False
176,2015-02-23,2015,AL,370,Millbrook Police Department,local_police,AL,Alabama,False
266,2015-02-23,2015,PA,19,Pennsylvania State Police,state_police,PA,Pennsylvania,True
266,2015-02-23,2015,PA,1746,Allentown Police Department,local_police,PA,Pennsylvania,True
266,2015-02-23,2015,PA,18,Catasauqua Police Department,local_police,PA,Pennsylvania,True
371,2015-02-23,2015,NE,158,Omaha Police Department,local_police,NE,Nebraska,False
177,2015-02-24,2015,WI,371,Green Bay Police Department,local_police,WI,Wisconsin,False
178,2015-02-25,2015,OK,23,Oklahoma City Police Department,local_police,OK,Oklahoma,False
179,2015-02-25,2015,NV,375,Las Vegas Metropolitan Police Department,local_police,NV,Nevada,False
180,2015-02-26,2015,IN,377,Terre Haute Police Department,local_police,IN,Indiana,True
180,2015-02-26,2015,IN,3612,U.S. Marshals Service,federal,IN,Indiana,True
181,2015-02-26,2015,FL,379,Lakeland Police Department,local_police,FL,Florida,False
182,2015-02-26,2015,CA,196,San Francisco Police Department,local_police,CA,California,False
183,2015-02-26,2015,MS,392,Gulfport Police Department,local_police,MS,Mississippi,False
184,2015-02-26,2015,GA,393,Worth County Sheriff's Department,sheriff,GA,Georgia,False
185,2015-02-27,2015,CA,33,Santa Ana Police Department,local_police,CA,California,False
186,2015-02-28,2015,SC,395,Greenville County Sheriff's Department,sheriff,SC,South Carolina,False
187,2015-02-28,2015,MI,352,Eaton County Sheriff's Department,sheriff,MI,Michigan,False
188,2015-02-28,2015,MO,167,Wellston Police Department,local_police,MO,Missouri,False
189,2015-02-28,2015,AZ,397,Tucson Police Department,local_police,AZ,Arizona,False
190,2015-02-28,2015,MO,398,Boone County Sheriff's Department,sheriff,MO,Missouri,False
191,2015-02-28,2015,NC,400,Tarboro Police Department,local_police,NC,North Carolina,True
191,2015-02-28,2015,NC,399,Edgecombe County Sheriff's Department,sheriff,NC,North Carolina,True
192,2015-02-28,2015,AZ,267,Riverside County Sheriff's Department,sheriff,CA,California,False
194,2015-03-01,2015,CA,38,Los Angeles Police Department,local_police,CA,California,False
195,2015-03-01,2015,TX,160,Harris County Sheriff's Office,sheriff,TX,Texas,False
268,2015-03-01,2015,MS,39,George County Sheriff's Department,sheriff,MS,Mississippi,False
196,2015-03-02,2015,IL,244,Joliet Police Department,local_police,IL,Illinois,False
197,2015-03-03,2015,MD,245,Wicomico County Sheriff's Office,sheriff,MD,Maryland,False
198,2015-03-03,2015,AZ,247,Tempe Police Department,local_police,AZ,Arizona,False
199,2015-03-04,2015,FL,178,Volusia County Sheriff's Department,sheriff,FL,Florida,False
249,2015-03-04,2015,CA,168,Stockton Police Department,local_police,CA,California,True
249,2015-03-04,2015,CA,205,San Joaquin County Sheriff's Office,sheriff,CA,California,True
200,2015-03-05,2015,WI,253,Milwaukee Police Department,local_police,WI,Wisconsin,False
201,2015-03-05,2015,CA,38,Los Angeles Police Department,local_police,CA,California,False
202,2015-03-05,2015,NE,3614,U.S. Marshals Service,federal,NE,Nebraska,False
203,2015-03-06,2015,WI,322,Madison Police Department,local_police,WI,Wisconsin,False
269,2015-03-06,2015,CO,21,Aurora Police Department,local_police,CO,Colorado,False
270,2015-03-06,2015,FL,256,Putnam County Sheriff's Office,sheriff,FL,Florida,False
271,2015-03-07,2015,AZ,80,Phoenix Police Department,local_police,AZ,Arizona,False
204,2015-03-08,2015,CA,79,Anaheim Police Department,local_police,CA,California,False
272,2015-03-08,2015,OK,23,Oklahoma City Police Department,local_police,OK,Oklahoma,False
273,2015-03-08,2015,DE,24,Delaware State Police,state_police,DE,Delaware,False
205,2015-03-09,2015,GA,329,DeKalb County Police Department,local_police,GA,Georgia,False
274,2015-03-09,2015,NC,25,Transylvania County Sheriff's Department,sheriff,NC,North Carolina,True
274,2015-03-09,2015,NC,342,N.C. Alcohol Law Enforcement,state_other,NC,North Carolina,True
274,2015-03-09,2015,NC,343,Homeland Security,local_police,NC,North Carolina,True
275,2015-03-09,2015,CO,340,Moffat County Sheriff's Office,sheriff,CO,Colorado,True
275,2015-03-09,2015,CO,341,Colorado Parks AND Wildlife,state_other,CO,Colorado,True
276,2015-03-09,2015,FL,28,Brevard County Sheriff's Office,sheriff,FL,Florida,True
276,2015-03-09,2015,FL,29,Cocoa Police Department,local_police,FL,Florida,True
206,2015-03-10,2015,OH,55,Cleveland Police Department,local_police,OH,Ohio,False
278,2015-03-10,2015,LA,3356,U.S. Marshals Service,federal,LA,Louisiana,False
536,2015-03-10,2015,GA,581,Port Wentworth Police Department,local_police,GA,Georgia,False
883,2015-03-10,2015,CA,735,Ontario Police Department,local_police,CA,California,False
248,2015-03-11,2015,MD,279,Cecil County Sheriff's Office,sheriff,MD,Maryland,False
277,2015-03-11,2015,TN,31,Memphis Police Department,local_police,TN,Tennessee,False
279,2015-03-11,2015,CA,33,Santa Ana Police Department,local_police,CA,California,False
281,2015-03-11,2015,AZ,596,Kingman Police Department,local_police,AZ,Arizona,False
307,2015-03-11,2015,AL,87,Baldwin County Sheriff's Department,sheriff,AL,Alabama,False
581,2015-03-11,2015,AL,610,Hoover Police Department,local_police,AL,Alabama,False
796,2015-03-11,2015,CA,20,Los Angeles County Sheriff's Department,sheriff,CA,California,False
282,2015-03-12,2015,DC,202,Metro Transit Police Department,local_other,DC,District of Columbia,False
207,2015-03-13,2015,CA,282,Napa Police Department,local_police,CA,California,False
283,2015-03-13,2015,MO,2080,U.S. Marshals Service,federal,MO,Missouri,False
289,2015-03-13,2015,CA,45,Fontana Police Department,local_police,CA,California,False
351,2015-03-13,2015,CA,20,Los Angeles County Sheriff's Department,sheriff,CA,California,False
208,2015-03-14,2015,WV,360,West Virginia State Police,state_police,WV,West Virginia,False
209,2015-03-14,2015,WI,366,Kenosha Police Department,local_police,WI,Wisconsin,False
287,2015-03-14,2015,TX,44,San Antonio Police Department,local_police,TX,Texas,False
210,2015-03-15,2015,MS,372,Pike County Police Department,local_police,MS,Mississippi,False
212,2015-03-16,2015,MN,63,St. Paul Police Department,local_police,MN,Minnesota,False
213,2015-03-16,2015,NC,58,Gaston County Police Department,local_police,NC,North Carolina,False
216,2015-03-17,2015,OR,59,Medford Police Department,local_police,OR,Oregon,False
217,2015-03-17,2015,NC,56,Bladenboro Police Department,local_police,NC,North Carolina,True
217,2015-03-17,2015,NC,57,Bladen County Sheriff's Department,sheriff,NC,North Carolina,True
221,2015-03-17,2015,CA,196,San Francisco Police Department,local_police,CA,California,False
290,2015-03-17,2015,TX,47,Onalaska Police Department,local_police,TX,Texas,False
292,2015-03-17,2015,CA,266,California Highway Patrol,state_police,CA,California,False
225,2015-03-18,2015,AZ,62,Glendale Police Department,local_police,AZ,Arizona,False
226,2015-03-18,2015,FL,311,Tallahassee Police Department,local_police,FL,Florida,False
294,2015-03-18,2015,CA,7,Bakersfield Police Department,local_police,CA,California,False
228,2015-03-19,2015,AL,548,Lawrence County Sheriff's Office,sheriff,AL,Alabama,False
229,2015-03-19,2015,OH,55,Cleveland Police Department,local_police,OH,Ohio,False
230,2015-03-19,2015,ID,415,Canyon County Sheriff's Office,sheriff,ID,Idaho,False
265,2015-03-19,2015,FL,17,Jacksonville Sheriff's Office,sheriff,FL,Florida,False
295,2015-03-19,2015,WA,60,U.S. Border Patrol,federal,WA,Washington,False
306,2015-03-19,2015,CA,7,Bakersfield Police Department,local_police,CA,California,False
308,2015-03-20,2015,LA,88,Jefferson Parish Sheriff's Office,sheriff,LA,Louisiana,False
310,2015-03-20,2015,OK,101,Oklahoma Highway Patrol,state_police,OK,Oklahoma,False
531,2015-03-20,2015,AZ,570,Navajo Nation Police Department,other,AZ,Arizona,False
235,2015-03-21,2015,AZ,422,Cottonwood Police Department,local_police,AZ,Arizona,False
309,2015-03-21,2015,NY,89,Orleans County Sheriff's Department,sheriff,NY,New York,False
311,2015-03-21,2015,IN,212,Clay County Sheriff Department,sheriff,IN,Indiana,False
312,2015-03-21,2015,OH,90,Columbus Police Department,local_police,OH,Ohio,False
231,2015-03-22,2015,CA,211,Vallejo Police Department,local_police,CA,California,False
233,2015-03-22,2015,OR,618,Portland Police Department,local_police,OR,Oregon,False
234,2015-03-22,2015,NY,421,Suffolk County Police Department,local_police,NY,New York,False
237,2015-03-23,2015,CA,27,Santa Clara Police Department,local_police,CA,California,False
238,2015-03-24,2015,VA,286,Portsmouth Police Department,local_police,VA,Virginia,False
247,2015-03-24,2015,CA,92,San Jose Police Department,local_police,CA,California,False
313,2015-03-24,2015,WI,425,Wisconsin State Patrol,state_police,WI,Wisconsin,False
239,2015-03-25,2015,GA,426,Smyrna Police Department,local_police,GA,Georgia,False
240,2015-03-25,2015,SC,91,Florence County Sheriff's Office,sheriff,SC,South Carolina,False
241,2015-03-25,2015,CA,20,Los Angeles County Sheriff's Department,sheriff,CA,California,False
242,2015-03-25,2015,AZ,62,Glendale Police Department,local_police,AZ,Arizona,False
246,2015-03-26,2015,KS,429,Gardner Police Department,local_police,KS,Kansas,False
250,2015-03-26,2015,CA,38,Los Angeles Police Department,local_police,CA,California,False
245,2015-03-27,2015,CA,15,Oxnard Police Department,local_police,CA,California,False
251,2015-03-27,2015,WV,360,West Virginia State Police,state_police,WV,West Virginia,False
254,2015-03-27,2015,MA,3,Boston Police Department,local_police,MA,Massachusetts,False
256,2015-03-27,2015,CA,4,San Diego County Sheriff's Department,sheriff,CA,California,False
257,2015-03-27,2015,FL,6,St. Lucie County Sheriff's Office,sheriff,FL,Florida,False
258,2015-03-27,2015,CA,7,Bakersfield Police Department,local_police,CA,California,False
316,2015-03-27,2015,MA,93,Webster Police Department,local_police,MA,Massachusetts,False
252,2015-03-29,2015,KY,1,Elizabethtown Police Department,local_police,KY,Kentucky,False
264,2015-03-29,2015,OH,16,Pike County Sheriff's Office,sheriff,OH,Ohio,False
244,2015-03-30,2015,NV,82,Boulder City Police Department,local_police,NV,Nevada,False
262,2015-03-30,2015,OR,14,Eugene Police Department,local_police,OR,Oregon,False
259,2015-03-31,2015,FL,2062,U.S. Marshals Service,federal,FL,Florida,True
259,2015-03-31,2015,FL,295,Tampa Police Department,local_police,FL,Florida,True
261,2015-03-31,2015,TX,356,Baytown Police Department,local_police,TX,Texas,False
263,2015-03-31,2015,MD,433,National Security Agency Police Department,federal,MD,Maryland,False
267,2015-04-01,2015,CA,3129,Hawthorne Police Department,local_police,CA,California,False
533,2015-04-01,2015,NJ,571,Hamilton Police Department,local_police,NJ,New Jersey,False
286,2015-04-02,2015,IL,40,Rock Island Police Department,local_police,IL,Illinois,False
288,2015-04-02,2015,IL,41,Illinois State Police,state_police,IL,Illinois,True
288,2015-04-02,2015,IL,42,Massac County Sheriff's Department,sheriff,IL,Illinois,True
288,2015-04-02,2015,IL,43,Brookport Police Department,local_police,IL,Illinois,True
291,2015-04-02,2015,OK,46,Tulsa County Sheriff's Office,sheriff,OK,Oklahoma,False
303,2015-04-02,2015,LA,84,Rapides Parish Sheriff's Office,sheriff,LA,Louisiana,False
299,2015-04-03,2015,VA,78,Frederick County Sheriff's Office,sheriff,VA,Virginia,False
296,2015-04-04,2015,IL,75,Zion Police Department,local_police,IL,Illinois,False
297,2015-04-04,2015,SC,76,North Charleston Police Department,local_police,SC,South Carolina,False
300,2015-04-04,2015,CA,79,Anaheim Police Department,local_police,CA,California,False
302,2015-04-04,2015,NM,81,New Mexico State Police,state_police,NM,New Mexico,False
301,2015-04-05,2015,AZ,80,Phoenix Police Department,local_police,AZ,Arizona,False
304,2015-04-05,2015,CA,85,Tehachapi Police Department,local_police,CA,California,False
298,2015-04-06,2015,IN,77,Indianapolis Metropolitan Police Department,local_police,IN,Indiana,False
318,2015-04-06,2015,LA,88,Jefferson Parish Sheriff's Office,sheriff,LA,Louisiana,False
322,2015-04-06,2015,ID,100,Bonneville County Sheriff's Office,sheriff,ID,Idaho,False
319,2015-04-07,2015,OK,96,Pottawatomie County Sheriff's Office,sheriff,OK,Oklahoma,False
329,2015-04-08,2015,TX,44,San Antonio Police Department,local_police,TX,Texas,False
330,2015-04-08,2015,GA,281,Lowndes County Sheriff's Office,sheriff,GA,Georgia,False
331,2015-04-08,2015,CA,38,Los Angeles Police Department,local_police,CA,California,False
359,2015-04-08,2015,CA,188,Sunnyvale Police Department,local_police,CA,California,False
332,2015-04-09,2015,FL,121,Santa Rosa County Sheriff's Office,sheriff,FL,Florida,False
333,2015-04-09,2015,IN,889,Tippecanoe County Sheriff's Department,sheriff,IN,Indiana,True
333,2015-04-09,2015,IN,122,Wasketa Police Department,local_police,IN,Indiana,True
333,2015-04-09,2015,IN,124,Indiana State Police,state_police,IN,Indiana,True
340,2015-04-09,2015,PA,19,Pennsylvania State Police,state_police,PA,Pennsylvania,False
343,2015-04-09,2015,SC,163,Spartanburg County Sheriff's Department,sheriff,SC,South Carolina,False
534,2015-04-09,2015,OK,572,Creek County Sheriff's Office,sheriff,OK,Oklahoma,True
534,2015-04-09,2015,OK,573,Bristow Police Department,local_police,OK,Oklahoma,True
335,2015-04-10,2015,CA,140,Tehama County Sheriff's Department,sheriff,CA,California,False
377,2015-04-10,2015,KS,259,Topeka Police Department,local_police,KS,Kansas,True
377,2015-04-10,2015,KS,260,Kansas Capitol Police,state_other,KS,Kansas,True
358,2015-04-11,2015,OK,165,Sand Springs Police Department,local_police,OK,Oklahoma,False
355,2015-04-12,2015,IN,77,Indianapolis Metropolitan Police Department,local_police,IN,Indiana,False
357,2015-04-12,2015,OK,23,Oklahoma City Police Department,local_police,OK,Oklahoma,False
362,2015-04-12,2015,NC,193,Sampson County Sheriff's Office,sheriff,NC,North Carolina,False
356,2015-04-13,2015,IL,185,Alton Police Department,local_police,IL,Illinois,False
363,2015-04-14,2015,TX,216,DeSoto Police Department,local_police,TX,Texas,False
364,2015-04-14,2015,AR,218,Jonesboro Police Department,local_police,AR,Arkansas,False
365,2015-04-15,2015,FL,219,Miami-Dade Police Department,local_police,FL,Florida,False
366,2015-04-15,2015,SC,220,Spartanburg Police Department,local_police,SC,South Carolina,False
367,2015-04-15,2015,TX,102,Houston Police Department,local_police,TX,Texas,False
368,2015-04-15,2015,MO,1616,Columbia Police Department,local_police,MO,Missouri,True
368,2015-04-15,2015,MO,223,Missouri University Police Department,local_other,MO,Missouri,True
369,2015-04-15,2015,CO,233,Canon City Police Department,local_police,CO,Colorado,False
374,2015-04-15,2015,CA,236,San Bernardino County Sheriff's Department,sheriff,CA,California,False
373,2015-04-16,2015,CA,230,Shafter Police Department,local_police,CA,California,False
380,2015-04-17,2015,IL,265,Chicago Police Department,local_police,IL,Illinois,False
381,2015-04-17,2015,CA,266,California Highway Patrol,state_police,CA,California,True
381,2015-04-17,2015,CA,267,Riverside County Sheriff's Department,sheriff,CA,California,True
382,2015-04-17,2015,MO,268,St. Louis County Police Department,local_police,MO,Missouri,False
376,2015-04-18,2015,AZ,80,Phoenix Police Department,local_police,AZ,Arizona,False
379,2015-04-18,2015,FL,264,Panama City Police Department,local_police,FL,Florida,False
378,2015-04-19,2015,KY,261,Wilmore Police Department,local_police,KY,Kentucky,False
383,2015-04-19,2015,NE,269,Sidney Police Department,local_police,NE,Nebraska,False
399,2015-04-20,2015,TX,308,Hidalgo County Sheriff's Office,sheriff,TX,Texas,False
